Besouro-rinoceronte-japonês,Allomyrina dichotoma,Allomyrina,Scarabaeidae,Coleoptera,Insecta,Arthropoda,Animalia
Escorpião-marrom,Tityus bahiensis,Tityus,Buthidae,Scorpiones,Arachnida,Arthropoda,Animalia
Taturana-oblíqua,Lonomia obliqua,Lonomia,Saturniidae,Lepidoptera,Insecta,Arthropoda,Animalia
Aranha-teia-de-funil,Atrax robustus,Atrax,Hexathelidae,Araneae,Arachnida,Arthropoda,Animalia
Escorpião-imperador,Pandinus imperator,Pandinus,Scorpionidae,Scorpiones,Arachnida,Arthropoda,Animalia
Barata-de-madagascar,Gromphadorhina portentosa,Gromphadorhina,Blaberidae,Blattodea,Insecta,Arthropoda,Animalia
Caranguejeira-rosa-salmão-brasileira,Lasiodora parahybana,Lasiodora,Theraphosidae,Araneae,Arachnida,Arthropoda,Animalia
Mariposa-cigana,Lymantria dispar,Lymantria,Lymantriidae,Lepidoptera,Insecta,Arthropoda,Animalia
Viúva-negra,Latrodectus hasseltii,Latrodectus,Theridiidae,Araneae,Arachnida,Arthropoda,Animalia
Rosa-Chilena,Grammostola rosea,Grammostola,Theraphosidae,Araneae,Arachnida,Arthropoda,Animalia
Escorpião-negro,Androctonus crassicauda,Androctonus,Buthidae,Scorpiones,Arachnida,Arthropoda,Animalia
Aranhas-rato,Missulena bradleyi,Missulena,Actinopodidae,Araneae,Arachnida,Arthropoda,Animalia
