Texugo-americano,Taxidea taxus,Taxidea,Mustelidae,Carnivora,Mammalia,Chordata,Animalia
Tigre-de-bali,Panthera tigris sondaica,Panthera,Felidae,Carnivora,Mammalia,Chordata,Animalia
Tigre-de-bengala,Panthera tigris tigris,Panthera,Felidae,Carnivora,Mammalia,Chordata,Animalia
Tigre-do-sul-da-china,Panthera tigris amoyensis,Panthera,Felidae,Carnivora,Mammalia,Chordata,Animalia
Tigre-do-cáspio,Panthera tigris virgata,Panthera,Felidae,Carnivora,Mammalia,Chordata,Animalia
Tigre-malaio,Panthera tigris jacksoni,Panthera,Felidae,Carnivora,Mammalia,Chordata,Animalia
Tigre-siberiano,Panthera tigris altaica,Panthera,Felidae,Carnivora,Mammalia,Chordata,Animalia
Urso-europeu,Ursus arctos arctos,Ursus,Ursidae,Carnivora,Mammalia,Chordata,Animalia
Urso-negro,Ursus americanus,Ursus,Ursidae,Carnivora,Mammalia,Chordata,Animalia
Urso-pardo,Ursus arctos,Ursus,Ursidae,Carnivora,Mammalia,Chordata,Animalia
Urso-polar,Ursus maritimus,Ursus,Ursidae,Carnivora,Mammalia,Chordata,Animalia
Veado-mateiro-pequeno,Mazama bororo,Mazama,Cervidae,Artiodactyla,Mammalia,Chordata,Animalia
Veado-mateiro,Mazama americana,Mazama,Cervidae,Artiodactyla,Mammalia,Chordata,Animalia
Wallaby,Wallabia bicolor,Wallabia,Macropodidae,Diprotodontia,Mammalia,Chordata,Animalia
Yak,Bos grunniens,Bos,Bovidae,Artiodactyla,Mammalia,Chordata,Animalia
Zebra-da-montanha,Equus zebra,Equus,Equidae,Perissodactyla,Mammalia,Chordata,Animalia
Zebra-da-planície,Equus quagga,Equus,Equidae,Perissodactyla,Mammalia,Chordata,Animalia
Zebra-de-grevy,Equus grevyi,Equus,Equidae,Perissodactyla,Mammalia,Chordata,Animalia
Zebra-de-grevy,Equus grevyi,Equus,Equidae,Perissodactyla,Mammalia,Chordata,Animalia
